Model,Config_ID,Accuracy,ROC_AUC,Macro_F1,Weighted_F1,Macro_Precision,Weighted_Precision,Macro_Recall,Weighted_Recall,batch_size,dense_units,dropout,embedding_dim,filters,lstm_units,gru_units
CNN,4,0.95266,0.9899627366,0.9526569548764005,0.9526569548764005,0.9527764910600622,0.9527764910600622,0.9526600000000001,0.95266,64,64,0.5,32,64.0,,
CNN,2,0.95263,0.9898532486,0.9526266493729195,0.9526266493729195,0.9527580908781097,0.9527580908781098,0.95263,0.95263,64,64,0.3,32,64.0,,
CNN,3,0.94828,0.9879015626,0.9482748274827483,0.9482748274827484,0.9484593837535014,0.9484593837535015,0.94828,0.94828,64,64,0.5,32,32.0,,
CNN,1,0.94624,0.9874542766000002,0.9462367122459219,0.946236712245922,0.9463491812946968,0.9463491812946968,0.94624,0.94624,64,64,0.3,32,32.0,,
CNN-BiLSTM,1,0.96084,0.9923991122000001,0.9608360364659001,0.9608360364659001,0.961026630218696,0.961026630218696,0.9608399999999999,0.96084,64,64,0.3,32,64.0,32.0,
CNN-BiLSTM,4,0.96078,0.9925056550000001,0.9607779440739612,0.9607779440739612,0.9608766321878215,0.9608766321878215,0.96078,0.96078,64,64,0.5,32,64.0,64.0,
CNN-BiLSTM,3,0.96052,0.9923755744000001,0.9605189971193573,0.9605189971193572,0.9605667965341553,0.9605667965341554,0.96052,0.96052,64,64,0.5,32,64.0,32.0,
CNN-BiLSTM,2,0.96038,0.9923799845999999,0.960378602014442,0.9603786020144421,0.9604449846266383,0.9604449846266382,0.96038,0.96038,64,64,0.3,32,64.0,64.0,
GRU,2,0.95101,0.9891897854,0.9510063679991732,0.9510063679991733,0.9511437769423468,0.9511437769423468,0.95101,0.95101,64,64,0.3,32,,,64.0
GRU,4,0.94977,0.9888285824,0.9497637545043693,0.9497637545043692,0.949993777405566,0.9499937774055661,0.94977,0.94977,64,64,0.5,32,,,64.0
GRU,1,0.94394,0.9864779415999999,0.9439372686013012,0.9439372686013012,0.9440265326011157,0.9440265326011158,0.94394,0.94394,64,64,0.3,32,,,32.0
GRU,3,0.94388,0.9858978578,0.9438719444790205,0.9438719444790205,0.9441349697140293,0.9441349697140294,0.94388,0.94388,64,64,0.5,32,,,32.0
LSTM,2,0.94165,0.9855306688000002,0.9416348899675574,0.9416348899675574,0.9421078258200868,0.9421078258200867,0.9416500000000001,0.94165,64,64,0.3,32,,64.0,
LSTM,1,0.87934,0.9561142974,0.8792939130157988,0.8792939130157987,0.8799202318063133,0.8799202318063134,0.87934,0.87934,64,64,0.3,32,,32.0,
LSTM,3,0.87175,0.9511617262000001,0.8707336603513295,0.8707336603513295,0.8838209681733358,0.8838209681733357,0.87175,0.87175,64,64,0.5,32,,32.0,
LSTM,4,0.85947,0.9598387506,0.857929521720202,0.8579295217202019,0.8757678904702475,0.8757678904702474,0.85947,0.85947,64,64,0.5,32,,64.0,
